"","person","family","community","county","province","age","gender","urban","vet","edu_yrs","lang","read_books","hours_tv","avg_sleep","smoked","coverage","govt_rating","welfare_housing","self-health","wechat","2020_employment","reason_unemployed","children","married","income_satis","income_rel","status_rel"
"17849",430344105,430344,112300,31,43,20,0,0,-8,14,1,1,5,7,0,3,2,-8,2,1,-8,-8,2,1,-8,79,2
"17850",410426103,573800,-9,1586,41,34,1,1,-8,15,1,0,2,7,0,3,4,-8,4,1,-8,6,3,2,2,1,1
"17851",573800601,573800,-9,1586,41,30,0,1,-8,15,1,1,3,6,0,5,3,-8,3,1,-8,2,3,2,4,1,1
"17852",430381103,573822,-9,115,44,45,1,1,-8,-9,1,0,7,6,0,2,3,-8,4,1,-1,-8,1,4,4,3,2
"17853",430420104,430420,-9,4152,46,34,0,1,-8,9,1,0,8,6,0,6,5,-8,5,1,80000,-8,3,2,3,2,2
"17854",441729107,573930,136616,121,44,27,0,0,-8,12,5,0,2,6,0,5,3,-8,4,1,-8,-8,7,2,4,3,5
"17855",573930651,573930,136616,121,44,33,1,0,-8,6,5,0,4,7,1,5,4,-8,1,1,-8,-8,7,2,5,5,5
"17856",450093103,574193,-9,4,45,29,1,0,-8,9,1,0,30,8,1,5,2,-8,3,1,-8,1,0,1,4,2,3
"17857",130211104,574480,120800,51,13,50,0,1,-8,12,1,1,10,7,0,5,2,-8,3,1,-8,2,3,2,4,3,3
"17858",130211111,574480,120800,51,13,50,1,1,1,-9,1,0,7,6.5,1,2,1,-8,2,1,80000,-8,3,2,4,3,3
"17859",130211112,574480,120800,51,13,25,0,1,-8,16,1,0,3,7,0,2,2,-8,3,1,-8,-8,3,1,2,3,3
"17860",130211113,574480,120800,51,13,15,0,1,-8,9,1,1,2,8,0,-8,-8,-8,3,1,-8,-8,3,-8,-8,79,3
"17861",440629105,440629,-9,7774,44,22,0,1,-8,16,1,1,10,8,0,3,2,-8,2,1,-8,-8,0,-8,-8,1,1
"17862",440757103,574570,-9,119,44,29,0,0,-8,-9,5,1,-1,7,0,2,3,-8,3,1,99700,-8,1,1,2,1,3
"17863",574570701,574570,-9,119,44,56,1,0,-8,-9,1,0,7,6,1,6,2,-8,3,1,80000,-8,1,-8,4,3,1
"17864",440762104,574574,469967,119,44,35,0,0,-8,6,5,0,30,7,0,5,2,-8,4,1,99700,-8,4,2,2,2,3
"17865",441020103,441020,-9,1896,43,12,1,1,-8,7,1,1,10,8,0,-8,-8,-8,3,0,-8,-8,2,-8,-8,79,1
